HD spec 1 wave,HD spec 1 intensity,HD spec 2 wave,HD spec 2 intensity,HD spec 3 wave,HD spec 3 intensity,Links 
438.25,11.5,438.25,12.28,438.25,15.06,
438.476,13.5,438.476,11.28,438.476,20.06,
438.703,15.5,438.703,15.28,438.703,15.06,
438.929,13.5,438.929,10.28,438.929,16.06,
439.156,15.5,439.156,11.28,439.156,18.06,
439.382,10.5,439.382,10.28,439.382,18.06,
439.609,12.5,439.609,9.28,439.609,14.06,
439.835,8.5,439.835,15.28,439.835,19.06,
440.062,18.5,440.062,16.28,440.062,19.06,
440.288,18.5,440.288,15.28,440.288,18.06,
440.515,13.5,440.515,14.28,440.515,17.06,
440.741,10.5,440.741,9.28,440.741,15.06,
440.968,13.5,440.968,15.28,440.968,13.06,
441.194,13.5,441.194,10.28,441.194,12.06,
441.421,11.5,441.421,11.28,441.421,16.06,
441.647,8.5,441.647,8.28,441.647,16.06,
441.874,13.5,441.874,13.28,441.874,14.06,
442.1,13.5,442.1,11.28,442.1,13.06,
442.327,12.5,442.327,11.28,442.327,17.06,
442.553,9.5,442.553,11.28,442.553,3.06,
442.78,12.5,442.78,15.28,442.78,14.06,
443.006,14.5,443.006,14.28,443.006,12.06,
443.232,11.5,443.232,9.28,443.232,15.06,
443.459,9.5,443.459,8.28,443.459,14.06,
443.685,9.5,443.685,11.28,443.685,12.06,
443.912,14.5,443.912,8.28,443.912,10.06,
444.138,10.5,444.138,7.28,444.138,16.06,
444.365,11.5,444.365,8.28,444.365,11.06,
444.591,11.5,444.591,13.28,444.591,11.06,
444.817,12.5,444.817,13.28,444.817,13.06,
445.044,13.5,445.044,13.28,445.044,18.06,
445.27,14.5,445.27,8.28,445.27,10.06,
445.497,10.5,445.497,12.28,445.497,14.06,
445.723,13.5,445.723,16.28,445.723,12.06,
445.949,9.5,445.949,9.28,445.949,15.06,
446.176,5.5,446.176,13.28,446.176,12.06,
446.402,9.5,446.402,13.28,446.402,12.06,
446.629,10.5,446.629,8.28,446.629,11.06,
446.855,9.5,446.855,7.28,446.855,16.06,
447.081,10.5,447.081,12.28,447.081,15.06,
447.308,10.5,447.308,9.28,447.308,17.06,
447.534,14.5,447.534,13.28,447.534,14.06,
447.76,14.5,447.76,12.28,447.76,12.06,
447.987,11.5,447.987,11.28,447.987,12.06,
448.213,10.5,448.213,9.28,448.213,10.06,
448.439,12.5,448.439,13.28,448.439,16.06,
448.666,12.5,448.666,10.28,448.666,15.06,
448.892,12.5,448.892,8.28,448.892,12.06,
449.118,13.5,449.118,15.28,449.118,17.06,
449.345,12.5,449.345,14.28,449.345,15.06,
449.571,8.5,449.571,10.28,449.571,13.06,
449.797,8.5,449.797,14.28,449.797,16.06,
