HD spec 1 wave,HD spec 1 intensity,HD spec 2 wave,HD spec 2 intensity,HD spec 3 wave,HD spec 3 intensity,HD average intensity
635.198,20.23,635.198,20.23,635.198,27.85,22.77
635.216,22.23,635.216,22.23,635.216,12.85,19.10333333
635.233,1.23,635.233,1.23,635.233,7.85,3.436666667
635.251,16.23,635.251,16.23,635.251,17.85,16.77
635.268,7.23,635.268,7.23,635.268,6.85,7.103333333
635.286,8.23,635.286,8.23,635.286,0.85,5.77
635.304,2.23,635.304,2.23,635.304,9.85,4.77
635.321,-7.77,635.321,-7.77,635.321,-7.15,-7.563333333
635.339,-1.77,635.339,-1.77,635.339,-11.15,-4.896666667
635.356,4.23,635.356,4.23,635.356,-4.15,1.436666667
635.374,11.23,635.374,11.23,635.374,-3.15,6.436666667
635.391,-3.77,635.391,-3.77,635.391,-14.15,-7.23
635.409,4.23,635.409,4.23,635.409,-19.15,-3.563333333
635.426,9.23,635.426,9.23,635.426,2.85,7.103333333
635.444,7.23,635.444,7.23,635.444,16.85,10.43666667
635.462,-0.77,635.462,-0.77,635.462,13.85,4.103333333
635.479,-3.77,635.479,-3.77,635.479,10.85,1.103333333
635.497,4.23,635.497,4.23,635.497,18.85,9.103333333
635.514,10.23,635.514,10.23,635.514,17.85,12.77
635.532,8.23,635.532,8.23,635.532,0.85,5.77
635.549,5.23,635.549,5.23,635.549,-11.15,-0.23
635.567,-5.77,635.567,-5.77,635.567,-17.15,-9.563333333
635.584,3.23,635.584,3.23,635.584,-4.15,0.77
635.602,44.23,635.602,44.23,635.602,40.85,43.10333333
635.619,56.23,635.619,56.23,635.619,58.85,57.10333333
635.637,12.23,635.637,12.23,635.637,16.85,13.77
635.654,29.23,635.654,29.23,635.654,14.85,24.43666667
635.672,-9.77,635.672,-9.77,635.672,-4.15,-7.896666667
635.689,-11.77,635.689,-11.77,635.689,7.85,-5.23
635.707,0.23,635.707,0.23,635.707,-13.15,-4.23
635.724,7.23,635.724,7.23,635.724,-12.15,0.77
635.742,-5.77,635.742,-5.77,635.742,-14.15,-8.563333333
635.759,-5.77,635.759,-5.77,635.759,-15.15,-8.896666667
635.777,9.23,635.777,9.23,635.777,-6.15,4.103333333
635.795,4.23,635.795,4.23,635.795,4.85,4.436666667
635.812,22.23,635.812,22.23,635.812,16.85,20.43666667
635.829,-3.77,635.829,-3.77,635.829,-12.15,-6.563333333
